d i ²	dʑ i ²
m a ⁴	m a ⁴
j i ³	j i ³
b r e ²	n j i ²
ʔ w e n ¹	ʔ w e n ¹
b r i ²	b r i ²
ts r e ŋ ¹	ts r e ŋ ¹
ɕ o ⁴	ɕ a
s e n ¹	s r e n ¹
p u ¹	p j e ¹
d o ŋ ²	d j o ŋ ²
k u ²	k u ²
q a ŋ ¹	q a ŋ ¹
b e ²	b e ²
s w a ¹	s w a ŋ ²¹
dz o ⁴	dz o ⁴
pʰ j ɛ ²	p j ɛ ²
q ɛ ¹	q ɛ ¹
b ɯ ¹	b ɯ ¹
m ɯ ⁴	m ɯ ⁴
b a ⁴	b a ⁴
ɕ i ²	ɕ w i ²
tsʰ i ⁴	tɕʰ i ⁴
ŋ w æ ⁵	ŋ w æ ⁵
tʰ r o ⁴	tʰ r o ⁴
tsʰ ɔ ¹	tsʰ u ŋ ¹
tɕ j ɯ ²	tɕ ɯ ²
kʰ o ⁴	kʰ o ⁴
ɣ æ ⁴	ɣ æ ⁴
qʰ ɔ ²	qʰ ɔ ²
ɕ i ⁴	ɕ i ⁴
j a ⁴	j a ⁴
t u ²	t u ²
sʰ r ɯ ²	sʰ r ɯ ²
s i ²	s i ²
q ɯ ¹	q ɯ ¹
ts w ɛ ⁴	ts w ɛ ⁴
tsʰ j e ¹	tsʰ j e n ¹
q ɯ̃ ²	ɣ ɯ̃ ²
t w ɛ ⁵	d w ɛ ⁵
b ɯ ¹	b r i ¹
ɖʐ u ¹	ɖʐ u ŋ ¹
p o ⁵	p j o ⁵
j ɯ ¹	j ɯ ¹
qʰ ɔ ²	qʰ ɔ ²
m o ²	m ø ²
l o ŋ ¹	l o ŋ ¹
